"Bacteroides"	"Unclassified_Lachnospiraceae"	"Faecalibacterium"	"Lachnospiracea_incertae_sedis"	"Alistipes"	"Erysipelotrichaceae_incertae_sedis"	"Roseburia"	"Parabacteroides"	"Clostridium_XI"	"Unclassified_Clostridiales"	"Blautia"	"Haemophilus"	"Unclassified_Ruminococcaceae"	"Ruminococcus"	"Akkermansia"	"Clostridium_XlVa"	"Sutterella"	"Unclassified_Bacteria"	"Clostridium_IV"	"Unclassified_Lactobacillales"	"Clostridium_XVIII"	"Dorea"	"Escherichia_Shigella"	"Unclassified_Bacteroidales"	"Turicibacter"	"Unclassified_Firmicutes"	"Klebsiella"	"Clostridium_sensu_stricto"	"Megamonas"	"Phascolarctobacterium"	"Bifidobacterium"	"Enterococcus"	"Paraprevotella"	"Prevotella"	"Flavonifractor"	"Oscillibacter"	"Unclassified_Clostridiaceae_1"	"Streptococcus"	"Odoribacter"	"Gemmiger"	"Barnesiella"	"Veillonella"	"Unclassified_Enterobacteriaceae"	"Weissella"	"Coprobacillus"	"Butyricicoccus"	"Collinsella"	"Unclassified_Proteobacteria"	"Anaerovorax"	"Lactobacillus"	"Parasutterella"	"Coprococcus"	"Cellulosilyticum"	"Eggerthella"	"Unclassified_Burkholderiales"	"Unclassified_Veillonellaceae"	"Unclassified_Actinomycetales"	"Acidaminococcus"	"Unclassified_Bacilli"	"Dialister"	"Rothia"	"Unclassified_Bacteroidetes"	"Enterobacter"	"TM7_genus_incertae_sedis"	"Pseudoflavonifractor"	"Clostridium_XlVb"	"Fusobacterium"	"Bilophila"	"Anaerobacter"	"Holdemania"	"Campylobacter"	"Unclassified_Clostridia"	"Unclassified_Erysipelotrichaceae"	"Unclassified_Acidaminococcaceae"	"Granulicatella"	"Clostridium_III"	"Subdoligranulum"	"Moraxella"	"Megasphaera"	"Porphyromonas"	"Gemella"	"Anaerotruncus"	"Unclassified_Bacillales"	"Unclassified_Porphyromonadaceae"	"Butyricimonas"	"Anaerofustis"	"Finegoldia"	"Hespellia"	"Acetobacterium"	"Desulfovibrio"	"Corynebacterium"	"Peptoniphilus"	"Unclassified_Pasteurellaceae"	"Murdochiella"	"Lactococcus"	"Mogibacterium"	"Anaerococcus"	"Unclassified_Gammaproteobacteria"	"Staphylococcus"	"Streptophyta"	"Abiotrophia"	"Parvimonas"	"Unclassified_Prevotellaceae"	"Eubacterium"	"Unclassified_Flavobacteriales"	"Unclassified_Clostridiales_Incertae_Sedis_XI"	"Filifactor"	"Pseudobutyrivibrio"	"Acidovorax"	"Sphingopyxis"	"Unclassified_Pseudomonadaceae"	"Solobacterium"	"Pseudomonas"	"Anaerostipes"	"Unclassified_Desulfovibrionaceae"	"Citrobacter"	"Unclassified_Betaproteobacteria"	"Unclassified_Fusobacteriaceae"	"Leuconostoc"
1	322	790	21	0	568	406	0	82	194	67	2	82	0	0	45	2	2	1	0	200	1	0	0	0	71	19	31	0	0	0	0	0	0	54	0	136	1	0	0	0	14	4	0	0	1	0	0	0	1	0	4	36	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
984	53	135	41	181	3	12	16	3	28	48	2	11	16	2	2	0	16	30	0	1	2	0	0	2	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	8	11	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7470	535	54	635	239	1	70	1	1	74	44	1	15	54	4	162	903	17	0	0	16	4	0	12	0	10	0	11	309	0	2	0	0	3	12	5	13	5	70	0	99	1	0	0	0	1	0	16	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	9	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1572	94	101	26	129	24	13	103	29	27	11	1	72	4	547	27	17	24	33	0	37	43	0	10	12	10	0	63	0	59	70	0	0	0	5	1	4	17	4	41	0	1	0	0	14	0	0	0	4	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	2	1	0	2	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8352	643	487	861	144	4	152	168	87	81	69	91	37	253	0	94	117	20	35	0	2	253	1	14	1	14	0	26	0	1	11	0	0	11	3	3	16	3	54	16	0	1	0	0	1	0	0	2	0	0	0	5	0	0	3	100	0	0	0	0	0	0	0	0	0	1	0	1	4	0	2	1	0	18	0	0	1	0	16	0	0	1	0	15	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
8845	439	521	373	589	11	309	212	77	80	90	3	357	80	0	22	528	112	150	0	61	3	0	106	2	16	0	1	0	213	17	0	0	1	28	57	0	4	80	152	0	0	0	0	0	10	0	11	20	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	9	0	0	0	0	0	0	1	0	0	0	30	4	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0
3101	26	40	4	0	14	9	0	1	25	24	0	4	16	0	24	7	8	2	0	0	0	0	14	0	2	0	1	0	0	1	13	0	0	19	4	0	0	0	1	0	0	0	0	9	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3203	180	69	69	0	15	100	1	266	27	18	1	5	15	0	30	0	3	1	0	1	40	272	10	3	3	3	54	0	0	1	0	0	1	4	2	11	1	0	0	0	1	48	1	0	19	0	52	0	0	0	12	0	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
2443	12	26	12	81	0	2	21	5	2	3	0	30	121	0	2	0	9	25	0	1	1	0	9	1	2	0	0	0	0	4	0	0	1	0	15	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2404	3	56	0	0	0	1	3	0	2	1	0	1	0	2	1	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
